iter	Passed	Remaining
680	930	435
681	931	434
682	932	432
683	933	431
684	934	429
685	935	428
686	936	426
687	937	425
688	938	423
689	939	422
690	940	420
691	941	419
692	942	417
693	943	416
694	944	414
695	945	413
696	946	411
697	947	409
698	948	408
699	950	407
700	951	405
701	952	404
702	953	402
703	954	401
704	955	399
705	956	398
706	957	396
707	958	395
708	959	393
709	960	392
710	961	390
711	962	389
712	963	387
713	964	386
714	966	385
715	967	383
716	968	382
717	969	380
718	970	379
719	971	377
720	972	376
721	973	374
722	974	373
723	976	372
724	977	370
725	978	369
726	979	367
727	980	366
728	981	364
729	983	363
730	984	362
731	985	360
732	986	359
733	987	357
734	988	356
735	988	354
736	989	353
737	990	351
738	991	350
739	992	348
740	993	347
741	995	345
742	996	344
743	997	343
744	998	341
745	999	340
746	1000	338
747	1001	337
748	1002	335
749	1003	334
750	1004	332
751	1005	331
752	1006	330
753	1007	328
754	1008	327
755	1009	325
756	1010	324
757	1011	323
758	1012	321
759	1013	320
760	1014	318
761	1015	317
762	1016	315
763	1017	314
764	1018	312
765	1019	311
766	1020	310
767	1021	308
768	1022	307
769	1023	305
770	1024	304
771	1026	303
772	1026	301
773	1027	300
774	1028	298
775	1029	297
776	1030	295
777	1031	294
778	1032	292
779	1033	291
780	1034	290
781	1035	288
782	1036	287
783	1037	285
784	1038	284
785	1040	283
786	1041	281
787	1042	280
788	1043	279
789	1044	277
790	1046	276
791	1047	275
792	1048	273
793	1050	272
794	1051	271
795	1053	269
796	1054	268
797	1056	267
798	1057	265
799	1058	264
800	1059	263
801	1060	261
802	1061	260
803	1062	258
804	1062	257
805	1064	256
806	1065	254
807	1066	253
808	1067	251
809	1068	250
810	1069	249
811	1070	247
812	1071	246
813	1072	245
814	1073	243
815	1074	242
816	1075	240
817	1076	239
818	1077	238
819	1078	236
820	1079	235
821	1080	234
822	1081	232
823	1082	231
824	1083	229
825	1084	228
826	1085	227
827	1086	225
828	1087	224
829	1088	223
830	1089	221
831	1090	220
832	1091	218
833	1092	217
834	1093	216
835	1094	214
836	1095	213
837	1096	212
838	1097	210
839	1098	209
840	1100	207
841	1101	206
842	1102	205
843	1102	203
844	1103	202
845	1104	201
846	1106	199
847	1106	198
848	1107	197
849	1109	195
850	1109	194
851	1110	192
852	1111	191
853	1112	190
854	1114	188
855	1115	187
856	1116	186
857	1117	184
858	1118	183
859	1119	182
860	1120	180
861	1120	179
862	1121	178
863	1123	176
864	1124	175
865	1125	174
866	1125	172
867	1126	171
868	1127	170
869	1129	168
870	1130	167
871	1131	166
872	1132	164
873	1133	163
874	1133	161
875	1134	160
876	1135	159
877	1136	157
878	1137	156
879	1138	155
880	1139	153
881	1140	152
882	1141	151
883	1142	149
884	1143	148
885	1144	147
886	1145	145
887	1147	144
888	1148	143
889	1149	142
890	1150	140
891	1151	139
892	1152	138
893	1153	136
894	1153	135
895	1154	134
896	1155	132
897	1156	131
898	1158	130
899	1159	128
900	1160	127
901	1162	126
902	1163	124
903	1163	123
904	1164	122
905	1165	120
906	1166	119
907	1167	118
908	1168	117
909	1169	115
910	1170	114
911	1171	113
912	1172	111
913	1173	110
914	1175	109
915	1176	107
916	1177	106
917	1178	105
918	1179	103
919	1180	102
920	1181	101
921	1182	100
922	1183	98
923	1184	97
924	1184	96
925	1185	94
926	1186	93
927	1188	92
928	1189	90
929	1190	89
930	1191	88
931	1192	86
932	1193	85
933	1194	84
934	1195	83
935	1196	81
936	1197	80
937	1198	79
938	1199	77
939	1199	76
940	1200	75
941	1201	74
942	1203	72
943	1204	71
944	1205	70
945	1206	68
946	1207	67
947	1208	66
948	1209	64
949	1210	63
950	1211	62
951	1212	61
952	1213	59
953	1214	58
954	1215	57
955	1216	55
956	1217	54
957	1218	53
958	1219	52
959	1220	50
960	1221	49
961	1222	48
962	1223	47
963	1224	45
964	1225	44
965	1226	43
966	1227	41
967	1228	40
968	1229	39
969	1230	38
970	1231	36
971	1232	35
972	1233	34
973	1234	32
974	1235	31
975	1236	30
976	1237	29
977	1237	27
978	1238	26
979	1239	25
980	1240	24
981	1241	22
982	1242	21
983	1243	20
984	1244	18
985	1245	17
986	1246	16
987	1248	15
988	1249	13
989	1250	12
990	1251	11
991	1252	10
992	1252	8
993	1253	7
994	1254	6
995	1255	5
996	1256	3
997	1257	2
998	1258	1
999	1259	0
